"","AF3","F7","F3","FC5","T7","P7","O1","O2","P8","T8","FC6","F4","F8","AF4"
"AF3",1,0.582222166010404,1,0.156472344762095,0.721566473593671,0.501955455866958,-0.266924331701611,0.474164828710757,-0.721113386071467,-0.267651024222706,-0.770975050880689,0.656470419699776,-0.776103072158604,-0.307281875865746
"F7",0.582222166010404,1,0.582222166010404,0.171744338700858,0.586078994365226,0.417606517970447,-0.232954483033897,0.358368459001981,-0.632364480055203,-0.2698040243294,-0.642615501755031,0.530275905609382,-0.667106969564442,-0.273017457562526
"F3",1,0.582222166010404,1,0.156472344762095,0.721566473593671,0.501955455866958,-0.266924331701611,0.474164828710757,-0.721113386071467,-0.267651024222706,-0.770975050880689,0.656470419699776,-0.776103072158604,-0.307281875865746
"FC5",0.156472344762095,0.171744338700858,0.156472344762095,1,0.148071442937311,0.0988353924322151,-0.132813720255891,0.104240687173295,-0.241506439443024,-0.104269499234895,-0.246597556236962,0.139381036389606,-0.251676867373505,-0.196501028885131
"T7",0.721566473593671,0.586078994365226,0.721566473593671,0.148071442937311,1,0.495614650484105,-0.266110366214654,0.479321180517147,-0.734670360836235,-0.24504769676189,-0.762950968011246,0.6524296729167,-0.799540792220137,-0.281625265645154
"P7",0.501955455866958,0.417606517970447,0.501955455866958,0.0988353924322151,0.495614650484105,1,-0.243584604233653,0.306511630509591,-0.520580232782321,-0.239883488555668,-0.574214387131578,0.44092796944051,-0.587528021471594,-0.2282761661477
"O1",-0.266924331701611,-0.232954483033897,-0.266924331701611,-0.132813720255891,-0.266110366214654,-0.243584604233653,1,-0.210624955615003,0.189920784113243,0.00147296055611224,0.223323763855241,-0.241449949433849,0.211575105148575,-0.0113595668757491
"O2",0.474164828710757,0.358368459001981,0.474164828710757,0.104240687173295,0.479321180517147,0.306511630509591,-0.210624955615003,1,-0.520128474173374,-0.203128865605971,-0.556679882288245,0.420164998599317,-0.536834781691856,-0.231503213485537
"P8",-0.721113386071467,-0.632364480055203,-0.721113386071467,-0.241506439443024,-0.734670360836235,-0.520580232782321,0.189920784113243,-0.520128474173374,1,0.170387755627977,0.696665933507978,-0.681565927261506,0.724238321956009,0.225825440772988
"T8",-0.267651024222706,-0.2698040243294,-0.267651024222706,-0.104269499234895,-0.24504769676189,-0.239883488555668,0.00147296055611224,-0.203128865605971,0.170387755627977,1,0.185174826021288,-0.232546014468933,0.204034384473894,0.0540027853433377
"FC6",-0.770975050880689,-0.642615501755031,-0.770975050880689,-0.246597556236962,-0.762950968011246,-0.574214387131578,0.223323763855241,-0.556679882288245,0.696665933507978,0.185174826021288,1,-0.706996778355894,0.782901990742411,0.25239185554819
"F4",0.656470419699776,0.530275905609382,0.656470419699776,0.139381036389606,0.6524296729167,0.44092796944051,-0.241449949433849,0.420164998599317,-0.681565927261506,-0.232546014468933,-0.706996778355894,1,-0.738159937240692,-0.293289331086909
"F8",-0.776103072158604,-0.667106969564442,-0.776103072158604,-0.251676867373505,-0.799540792220137,-0.587528021471594,0.211575105148575,-0.536834781691856,0.724238321956009,0.204034384473894,0.782901990742411,-0.738159937240692,1,0.247400862659622
"AF4",-0.307281875865746,-0.273017457562526,-0.307281875865746,-0.196501028885131,-0.281625265645154,-0.2282761661477,-0.0113595668757491,-0.231503213485537,0.225825440772988,0.0540027853433377,0.25239185554819,-0.293289331086909,0.247400862659622,1
