"","AF3","F7","F3","FC5","T7","P7","O1","O2","P8","T8","FC6","F4","F8","AF4"
"AF3",1,0.447084485446049,1,0.155155927837458,-0.491941084240187,0.397604250221395,-0.285479542839814,-0.523702585212235,-0.544089493272445,0.49619215541148,-0.373772121463979,0.539700008233283,-0.552584170624047,0.491337355609414
"F7",0.447084485446049,1,0.447084485446049,0.283754441773915,-0.643827637651147,0.514471981119824,-0.344771739479571,-0.679577045931191,-0.721710733517492,0.699330872410333,-0.523547676747198,0.714526306027133,-0.726965274745107,0.717269929273707
"F3",1,0.447084485446049,1,0.155155927837458,-0.491941084240187,0.397604250221395,-0.285479542839814,-0.523702585212235,-0.544089493272445,0.49619215541148,-0.373772121463979,0.539700008233283,-0.552584170624047,0.491337355609414
"FC5",0.155155927837458,0.283754441773915,0.155155927837458,1,-0.349105240829302,0.204856673242661,-0.184206188012392,-0.360373663151934,-0.358502210314929,0.325835998568191,-0.304559461150889,0.325202814027763,-0.368356226619177,0.349049013890648
"T7",-0.491941084240187,-0.643827637651147,-0.491941084240187,-0.349105240829302,1,-0.570170282975975,0.244741880173486,0.603197842389553,0.646191076720748,-0.722159044288372,0.43704261633348,-0.733702962005793,0.645802904236374,-0.712836194933955
"P7",0.397604250221395,0.514471981119824,0.397604250221395,0.204856673242661,-0.570170282975975,1,-0.300828142723907,-0.57635365826539,-0.630443486911076,0.584366909037042,-0.463817395331659,0.615305439275279,-0.622066155759038,0.598843775079499
"O1",-0.285479542839814,-0.344771739479571,-0.285479542839814,-0.184206188012392,0.244741880173486,-0.300828142723907,1,0.248829389318483,0.308339513963849,-0.366634202302437,0.190868368839413,-0.382528403519658,0.292466292976589,-0.384521922570503
"O2",-0.523702585212235,-0.679577045931191,-0.523702585212235,-0.360373663151934,0.603197842389553,-0.57635365826539,0.248829389318483,1,0.67451748099201,-0.734671938457346,0.471290146181391,-0.754847907223605,0.687430857507879,-0.763794737933523
"P8",-0.544089493272445,-0.721710733517492,-0.544089493272445,-0.358502210314929,0.646191076720748,-0.630443486911076,0.308339513963849,0.67451748099201,1,-0.774002680574856,0.471325296833038,-0.810489195482181,0.73751260370849,-0.798945868669208
"T8",0.49619215541148,0.699330872410333,0.49619215541148,0.325835998568191,-0.722159044288372,0.584366909037042,-0.366634202302437,-0.734671938457346,-0.774002680574856,1,-0.581504245503637,0.803947324713441,-0.776287118371763,0.790804464585794
"FC6",-0.373772121463979,-0.523547676747198,-0.373772121463979,-0.304559461150889,0.43704261633348,-0.463817395331659,0.190868368839413,0.471290146181391,0.471325296833038,-0.581504245503637,1,-0.573428401418843,0.494542554721269,-0.56504247452387
"F4",0.539700008233283,0.714526306027133,0.539700008233283,0.325202814027763,-0.733702962005793,0.615305439275279,-0.382528403519658,-0.754847907223605,-0.810489195482181,0.803947324713441,-0.573428401418843,1,-0.810026627940066,0.814385606665508
"F8",-0.552584170624047,-0.726965274745107,-0.552584170624047,-0.368356226619177,0.645802904236374,-0.622066155759038,0.292466292976589,0.687430857507879,0.73751260370849,-0.776287118371763,0.494542554721269,-0.810026627940066,1,-0.801128818624227
"AF4",0.491337355609414,0.717269929273707,0.491337355609414,0.349049013890648,-0.712836194933955,0.598843775079499,-0.384521922570503,-0.763794737933523,-0.798945868669208,0.790804464585794,-0.56504247452387,0.814385606665508,-0.801128818624227,1
